Sr_No,Date,StartUp,Vertical,SubVertical,Location,Investors,Round,Amount
842,2017-05-25,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,75.544
843,2017-05-26,Whatsloan,Consumer Internet,Online Lending Mobile App,Bangalore,Lahiri Music Family Office,Seed Funding,9.443
844,2017-05-29,Cube Consumer Services,Consumer Internet,Finance Management Mobile App,Mumbai,Undisclosed,Seed Funding,9.443
845,2017-05-29,Nivesh,Consumer Internet,Online Mf Investment Platform,Noida,"Pv Sahad, Seep Shroff, Rahul Gupta",Seed Funding,9.443
846,2017-05-29,Wowflux,Technology,Image Processing Solution,New Delhi,Undisclosed Investors,Seed Funding,9.443
847,2017-05-29,Collateral Medical,Ecommerce,Online Medical Equipment Supplier,Mumbai,Carpediem Capital,Private Equity,33.0505
848,2017-05-30,Loadshare,Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,9.443
849,2017-05-30,Simplilend,Consumer Internet,Online Lending Platform,New Delhi,Undisclosed Investors,Seed Funding,9.443
850,2017-05-30,Supr Daily,Consumer Internet,Subscription Based Delivery Platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,14.1645
851,2017-05-30,Swiggy,Consumer Internet,Online Food Delivery Platform,Bangalore,"Nasper, Accel India, Saif Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,755.44
852,2017-05-31,Sastasundar,Ecommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,47.215
853,2017-05-31,Magicpin,Consumer Internet,Hyperlocal Discovery  & Rewards Platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,66.101
854,2017-04-01,Cashe,Consumer Internet,Online & Mobile Based Lending Platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,35.8834
855,2017-04-03,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,77.4326
856,2017-04-03,Testbook,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity,9.443
857,2017-04-03,Healthcare At Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,377.72
858,2017-04-03,Tyre Express,Technology,Enterprise Iot Solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,9.443
859,2017-04-03,Smartcoin,Consumer Internet,Micro Lending Platform,Bangalore,Unicorn India Ventures & Others,Private Equity,9.443
860,2017-04-04,Waycool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,25.496100000000002
861,2017-04-04,Perfios,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,57.6023
862,2017-04-04,Whatfix,Technology,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,34.84467
863,2017-04-04,Elastirun,Technology,App Based Logistics & Distribution Platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,66.101
864,2017-04-04,Trukky,Consumer Internet,Online Truck Aggregator & Booking Platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,4.7215
865,2017-04-04,Konsult App,Consumer Internet,App Based Doctor Consulting Platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo Van Den Bosch & Others",Seed Funding,4.7215
866,2017-04-05,Credit Sudhaar,Consumer Internet,Credit Score Improvement Platform,Mumbai,"Deepak Kulkarni, Seep Pangal",Seed Funding,9.443
867,2017-04-05,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,28.329
868,2017-04-05,Dataweave,Technology,Business Intelligence Solutions,Bangalore,"Freakout Group, Blume Ventures, Herb Madan, Waterbridge Ventures",Private Equity,9.443
869,2017-04-06,Medwell Ventures,Healthcare,Home-Based Healthcare Provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,198.30300000000003
870,2017-04-06,Mech Mocha,Consumer Internet,Mobile Gaming Startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,47.215
871,2017-04-07,Startup Buddy,Consumer Internet,Startup Support Platform,Gurgaon,"Youwecan Ventures,",Seed Funding,9.443
872,2017-04-07,Qorqi,Healthcare,Online Healthcare Provider,Noida,Paytm,Seed Funding,9.443
873,2017-04-07,Twenty Two Motors,Technology,Smart Scooter Manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Funding,9.443
874,2017-04-07,Pharmeasy,Ecommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,169.97400000000002
875,2017-04-08,Wonderchef,Ecommerce,Online Marketplace For Kitchen Products,Mumbai,Labruyere Eberl\\Xc3\\Xa9,Private Equity,9.443
876,2017-04-08,Fastfox,Consumer Internet,Online Rental Discovery Platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, Cyberagent Ventures, Growx Ventures, Imj Investment Partners",Private Equity,43.4378
877,2017-04-10,Omnify,Technology,Saas Platform For Smes,Bangalore,"Rajan Anan, L.D Sharma, Saurabh Arora",Seed Funding,1.4164500000000002
878,2017-04-10,Capital Float,Consumer Internet,Online Lending Platform For Sme,Bangalore,Mahindra  Mahindra Financial Services,Private Equity,21.7189
879,2017-04-11,Ninjacart,Ecommerce,B2B Agri-Marketing Platform,Bangalore,"Accel Partners, Nan Nilekani Nrjn Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,51.93650000000001
880,2017-04-11,Mergerware,Technology,Software Solutions For M&As,Bangalore,Philippe Bouchet,Seed Funding,0.9443
881,2017-04-11,Sports Flashes,Consumer Internet,Online Sports Portal & Mobile App,New Delhi,"Sushil Kumar, Seep Singh",Seed Funding,9.443
882,2017-04-12,Clovia,Ecommerce,Online Lingerie & Sleepwear Etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures  Ravi Dhariwal",Private Equity,37.772
883,2017-04-12,Emiza,Logistics,Third Party Logistics Provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,42.493500000000004
884,2017-04-12,Hackerearth,Consumer Internet,Online Skill Assessment Platform,Bangalore,"Dhi Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, Bizreach",Private Equity,42.493500000000004
885,2017-04-12,Squadrun,Technology,Software-As-A-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91Springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,19.8303
886,2017-04-12,Tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,"Mape Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,9.443
887,2017-04-12,Scoutmytrip,Consumer Internet,Online Travel Planner,Mumbai,Z Nation Lab,Seed Funding,9.443
888,2017-04-13,Safetykart,Ecommerce,Safety & Hygiene Products Etailer,Gurgaon,Redcliffe Capital,Private Equity,9.443
889,2017-04-13,Weareholidays,Consumer Internet,Travel Packages & Planner Marketplace,Gurgaon,"Urrshila Kerkar,",Private Equity,72.7111
890,2017-04-14,Ola Cabs,Consumer Internet,Cab Aggregator App,Bangalore,Simi Pacific Pte,Private Equity,2455.18
891,2017-04-15,Myly,Consumer Internet,Mobile App For Schools,Jaipur,Mall Industries Development Bank Of India (Sidbi),Seed Funding,2.9273300000000004
892,2017-04-17,Credihealth,Consumer Internet,Online Medical Assistance Platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,14.1645
893,2017-04-17,Navia Life Care,Technology,Health Technology Platform,New Delhi,Benori Ventures Llp,Seed Funding,9.443
894,2017-04-17,Raw Pressery,Food & Beverages,Raw Pressed Juices Manufacturer,Mumbai,Jacqueline Fernez,Seed Funding,9.443
895,2017-04-17,Snackible,Food & Beverages,Healthy Snacks Manufacturer,Mumbai,"Nibhrant Shah, Anbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,1.6525250000000002
896,2017-04-17,Be U Salons,Consumer Internet,Online Salon Discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,5.854660000000001
897,2017-04-17,Simulanis,Consumer Internet,Elearning & Skills Development Plat,New Delhi,Village Capital,Seed Funding,9.443
898,2017-04-17,Lendingkart,Consumer Internet,Lending Platform For Small Businesses,Ahmedabad,Anicut Capital,Private Equity,43.90995000000001
899,2017-04-18,Innefu Security Consulting,Technology,Cyber Security Solutions Using Ai,New Delhi,Indianivesh Venture Capital Fund,Private Equity,18.886
900,2017-04-18,Whodat,Technology,Markerless Ar Platform,Bangalore,Ideaspring Capital,Private Equity,5.665800000000001
901,2017-04-18,Absentia Vr,Technology,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,Private Equity,11.80375
902,2017-04-19,Iotrek,Technology,Iot Platform For Bus,New Delhi,Undisclosed Investor,Seed Funding,1.4636650000000002
903,2017-04-20,Holachef,Consumer Internet,Online Food Delivery,Mumbai,"Sidbi Venture Capital Ltd, Kalaari Capital",Private Equity,28.329
904,2017-04-20,Wooplr,Ecommerce,Social Commerce  Fashion Platform,Bangalore,Ankit Nagori,Private Equity,9.443
905,2017-04-21,Video Ken,Consumer Internet,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, Lg Chrasekhar, Sashi Reddi",Seed Funding,9.443
906,2017-04-24,Faasos,Food & Beverage,Qsr Chain And Online Food Delivery,Pune,"Ligthbox Ventures Ii, Lightbox Expansion Fund, Sequoia Capital India, Runet South Asia, Rb Investments",Private Equity,59.4909
907,2017-04-24,Oyo Rooms,Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,"Softbank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,2360.75
908,2017-04-24,Toppr,Consumer Internet,Learning Mobile App For Students,Mumbai,Wgg International,Private Equity,30.2176
909,2017-04-24,Niramai,Healthcare,Breast Cancer Screening Solutions,Bangalore,"Pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,9.443
910,2017-04-25,The Office Pass,Consumer Internet,Coworking Spaces Booking Platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,2.313535
911,2017-04-25,Urbanclap,Consumer Internet,Mobile Services Marketplace,Gurgaon,Trifecta Capital,Private Equity,29.2733
912,2017-04-26,Awfis,Consumer Internet,Collaborative Co-Working Spaces,Mumbai,Sequoia India,Private Equity,188.86
913,2017-04-26,Myra,Consumer Internet,Online Pharmacy,Bangalore,"Times Internet,Matrix Partners",Private Equity,9.443
914,2017-04-26,Flytxt,Technology,Customer Data Analytics Software,Mumbai,Dah Beteiligungs Gmbh,Private Equity,103.87300000000002
915,2017-04-26,Howdy Ventures,Consumer Internet,Public And Private Events Creation App,Chennai,S. Xavier Britto,Seed Funding,14.1645
916,2017-04-26,Stalkbuylove,Ecommerce,Online Fashion Marketplace,New Delhi,Trifecta Capital,Private Equity,9.443
917,2017-04-26,Zipgo,Consumer Internet,Bus Pooling Services Platform,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,9.443
918,2017-04-27,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,33.9948
919,2017-04-27,Autobix,Technology,Software Solutions For Auto Dealership,Pune,Gardx International,Seed Funding,9.443
920,2017-04-27,Eshiksha,Technology,Education Institution Management Solutions,Jaipur,Cross Border Angels & Experts,Seed Funding,9.443
921,2017-04-27,Inurture,Consumer Internet,Online Educational Courses,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,14.1645
922,2017-04-28,Sepalika,Consumer Internet,Healthcare Related Content Platform,New Delhi,Accel Partners,Seed Funding,7.08225
923,2017-04-28,Mintwalk,Consumer Internet,Financial Advisory Mobile App,Mumbai,Poshika Financial Ecosystem,Seed Funding,9.443
924,2017-04-29,Qriyo,Consumer Internet,Tutor Discovery & Booking Platform,Jaipur,Nb Ventures,Private Equity,9.443
925,2017-03-01,Ola,Consumer Internet,App Based Cab Aggregator,Bangalore,Softbank Group Corp,Private Equity,3116.1900000000005
926,2017-03-01,Belong,Consumer Internet,Online Jon Portal,Bangalore,Sequoia Capital India,Private Equity,94.43
927,2017-03-01,Seenit,Consumer Internet,Ai Based Fashion Search Portal,Kolkata,"Calcutta Angels Network (Can), Augment Ventures",Seed Funding,9.443
928,2017-03-01,Paalak,Ecommerce,Fresh Produce Selling Portal,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nkumar Rane, Ln Buddharaju, Anupam Tyagi",Seed Funding,9.443
929,2017-03-02,Celes Care,Consumer Internet,Women Healthcare & Information Portal,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,14.1645
930,2017-03-02,Karomi,Technology,Packaging Artwork Management Software,Chennai,Ideaspring Capital,Seed Funding,4.7215
931,2017-03-02,Red Carpet,Consumer Internet,Micro Lending Platform,Gurgaon,Lightspeed Venture Partners,Private Equity,23.6075
932,2017-03-02,Kreate Konnect,Technology,End-To-End Seller E-Commerce Solutions Provider,Vadodara,Langoor,Seed Funding,9.443
933,2017-03-02,Creditmantri,Consumer Internet,Online Credit Score & Lending Platform,Chennai,Quona Capital,Private Equity,71.7668
934,2017-03-03,Lets Endorse,Consumer Internet,Online Ecosystem Of Social Innovators,Bangalore,"Chigarh Angels Network, Social Alpha  Other Unnamed Angel Investors",Seed Funding,9.443
935,2017-03-03,Tydy,Technology,Employee Onboarding And Engagement Platform,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,2.5968250000000004
936,2017-03-03,Nactus,Consumer Internet,Professional Tutors Discovery & Booking Mobile App,Jaipur,"Seep Aggarwal, Gautam Chhaochharia, R Balachar",Seed Funding,9.443
937,2017-03-03,Oho Shop,Technology,Ecommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman  Company Ltd",Private Equity,63.2681
938,2017-03-03,Emojifi,Consumer Internet,Mobile App For Live Emoji,Hyderabad,Undisclosed Angel Investors,Seed Funding,9.443
939,2017-03-03,Paytm Marketplace,Ecommerce,Ecommerce Marketplace,Bangalore,Alibaba,Private Equity,1888.6
940,2017-03-04,Igenetics,Healthcare,Health Diagnostic Solutions,Mumbai,Cdc Group Plc,Private Equity,184.13850000000002
941,2017-03-06,Juno Clinic,Consumer Internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,11.331600000000002
942,2017-03-06,Summerlabel,Consumer Internet,Fashion And Lifestyle Discovery Platform,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,1.4164500000000002
943,2017-03-06,Pickme,Consumer Internet,Gadget Insurance & Repair Services Platform,Mumbai,Sidbi Venture Capital Fund,Private Equity,16.90297
944,2017-03-07,Agrostar,Technology,Direct-To-Farmer Mobile-Based Retail Platform,Pune,Accel Partners,Private Equity,94.43
945,2017-03-07,Zapr,Technology,"Dsp, Tv Analytics & Cross-Platform Advertising",Bangalore,Star India Pvt Ltd,Private Equity,94.43
946,2017-03-07,Data Resolve,Technology,Cyber Security Solutions,Noida,Idfc Parampara Early Stage Opportunities Fund,Private Equity,9.443
947,2017-03-07,Book Servicing,Consumer Internet,Online Vehicle Services Booking Platform,New Delhi,National Science  Technology Entrepreneurship Development Board,Seed Funding,0.28329
948,2017-03-07,Blowhorn,Consumer Internet,Intra-City Logistics Provider,Bangalore,"Idg Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,34.46695
949,2017-03-08,Rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,141.645
950,2017-03-08,Pipecandy,Technology,Intelligent Sales Prospecting Platform,Chennai,"Idg Ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,10.387300000000002
951,2017-03-08,Supr Daily,Consumer Internet,Subscription Based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,1.13316
952,2017-03-08,Parentune,Consumer Internet,Online Community For Parents,Gurgaon,"Kae Capital, Segnel Ventures",Private Equity,9.443
953,2017-03-09,Appbrowzer,Consumer Internet,Instant Mobile Apps Store,Bangalore,Deepak Gurnani,Seed Funding,4.7215
954,2017-03-09,Magicbricks,Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,42.493500000000004
955,2017-03-10,Peebuddy,Healthcare,Female Hygiene Product Manufacturer,New Delhi,Indian Angel Network,Seed Funding,4.183249
956,2017-03-10,Iorderfresh,Ecommerce,Online Fresh Fruits And Grocery Store,New Delhi,Singapore Angel Network,Seed Funding,9.443
957,2017-03-10,Lavelle Networks,Technology,Sdn Solutions,Bangalore,Ideaspring Capital,Seed Funding,5.665800000000001
958,2017-03-10,Propertyshare,Consumer Internet,Fractional Proerty Ownership & Rental Platform,Bangalore,"Asuka, Pravega Ventures, Beenext",Seed Funding,9.443
959,2017-03-14,Mydermacy,Consumer Internet,Online Dermatology Consultation Platform,New Delhi,Cyber Carrier,Private Equity,9.443
